URSA Benchmark (solver_template) vs MiniSat vs URSA Reduction (reduction_template)
===============================================
Started: 2025-08-25 20:58:38

Category     | File                                | Variables | Clauses  | URSA     | MiniSat  | Reduction  | URSA Time  | MiniSat Time | Reduction Time
---------------------------------------------------------------------------------------------------------------------------------------------------------
AIM          | aim-100-1_6-no-1.cnf                | 100       | 160      | UNSAT    | UNSAT    | UNSAT      | 1.119594   | 0.002918     | 96.228394     
AIM          | aim-100-1_6-no-2.cnf                | 100       | 160      | UNSAT    | UNSAT    | UNSAT      | 0.980516   | 0.002964     | 78.025771     
AIM          | aim-100-1_6-no-3.cnf                | 100       | 160      | UNSAT    | UNSAT    | UNSAT      | 1.025491   | 0.002658     | 74.949887     
AIM          | aim-100-1_6-no-4.cnf                | 100       | 160      | UNSAT    | UNSAT    | UNSAT      | 0.921901   | 0.002658     | 49.623890     
AIM          | aim-100-1_6-yes1-1.cnf              | 100       | 160      | SAT      | SAT      | SAT        | 0.943988   | 0.002551     | 74.825778     
AIM          | aim-100-1_6-yes1-2.cnf              | 100       | 160      | SAT      | SAT      | SAT        | 0.906442   | 0.002595     | 70.424558     
AIM          | aim-100-1_6-yes1-3.cnf              | 100       | 160      | SAT      | SAT      | SAT        | 0.908674   | 0.002733     | 70.718906     
AIM          | aim-100-1_6-yes1-4.cnf              | 100       | 160      | SAT      | SAT      | SAT        | 0.894042   | 0.002771     | 54.666652     
AIM          | aim-100-2_0-no-1.cnf                | 100       | 200      | UNSAT    | UNSAT    | UNSAT      | 1.118589   | 0.002610     | 126.736325    
AIM          | aim-100-2_0-no-2.cnf                | 100       | 200      | UNSAT    | UNSAT    | UNSAT      | 1.164879   | 0.002644     | 142.176327    
AIM          | aim-100-2_0-no-3.cnf                | 100       | 200      | UNSAT    | UNSAT    | UNSAT      | 1.219900   | 0.002593     | 127.680094    
AIM          | aim-100-2_0-no-4.cnf                | 100       | 200      | UNSAT    | UNSAT    | UNSAT      | 1.137301   | 0.002659     | 122.484062    
AIM          | aim-100-2_0-yes1-1.cnf              | 100       | 200      | SAT      | SAT      | SAT        | 1.149804   | 0.002651     | 114.974335    
AIM          | aim-100-2_0-yes1-2.cnf              | 100       | 200      | SAT      | SAT      | SAT        | 1.131912   | 0.002773     | 143.006785    
AIM          | aim-100-2_0-yes1-3.cnf              | 100       | 200      | SAT      | SAT      | SAT        | 1.161253   | 0.002658     | 137.865173    
AIM          | aim-100-2_0-yes1-4.cnf              | 100       | 200      | SAT      | SAT      | TIMEOUT    | 1.465601   | 0.002607     | 150.000000    
AIM          | aim-100-3_4-yes1-1.cnf              | 100       | 340      | SAT      | SAT      | TIMEOUT    | 2.688312   | 0.003243     | 150.000000    
AIM          | aim-100-3_4-yes1-2.cnf              | 100       | 340      | SAT      | SAT      | TIMEOUT    | 1.966780   | 0.003019     | 150.000000    
AIM          | aim-100-3_4-yes1-3.cnf              | 100       | 340      | SAT      | SAT      | TIMEOUT    | 1.929173   | 0.002978     | 150.000000    
AIM          | aim-100-3_4-yes1-4.cnf              | 100       | 340      | SAT      | SAT      | TIMEOUT    | 2.353655   | 0.003484     | 150.000000    
AIM          | aim-100-6_0-yes1-1.cnf              | 100       | 600      | SAT      | SAT      | TIMEOUT    | 3.480296   | 0.003387     | 150.000000    
AIM          | aim-100-6_0-yes1-2.cnf              | 100       | 600      | SAT      | SAT      | TIMEOUT    | 3.759336   | 0.009758     | 150.000000    
AIM          | aim-100-6_0-yes1-3.cnf              | 100       | 600      | SAT      | SAT      | TIMEOUT    | 3.764987   | 0.003363     | 150.000000    
AIM          | aim-100-6_0-yes1-4.cnf              | 100       | 600      | SAT      | SAT      | TIMEOUT    | 3.984021   | 0.003375     | 150.000000    
AIM          | aim-200-1_6-no-1.cnf                | 200       | 320      | UNSAT    | UNSAT    | TIMEOUT    | 3.991241   | 0.003478     | 150.000000    
AIM          | aim-200-1_6-no-2.cnf                | 200       | 320      | UNSAT    | UNSAT    | TIMEOUT    | 4.812653   | 0.003707     | 150.000000    
AIM          | aim-200-1_6-no-3.cnf                | 200       | 320      | UNSAT    | UNSAT    | TIMEOUT    | 4.027037   | 0.003537     | 150.000000    
AIM          | aim-200-1_6-no-4.cnf                | 200       | 320      | UNSAT    | UNSAT    | TIMEOUT    | 3.887191   | 0.003511     | 150.000000    
AIM          | aim-200-1_6-yes1-1.cnf              | 200       | 320      | SAT      | SAT      | TIMEOUT    | 3.793641   | 0.003255     | 150.000000    
AIM          | aim-200-1_6-yes1-2.cnf              | 200       | 320      | SAT      | SAT      | TIMEOUT    | 3.837788   | 0.003281     | 150.000000    
AIM          | aim-200-1_6-yes1-3.cnf              | 200       | 320      | SAT      | SAT      | TIMEOUT    | 3.795430   | 0.003238     | 150.000000    
AIM          | aim-200-1_6-yes1-4.cnf              | 200       | 320      | SAT      | SAT      | TIMEOUT    | 4.260807   | 0.003570     | 150.000000    
AIM          | aim-200-2_0-no-1.cnf                | 200       | 400      | UNSAT    | UNSAT    | TIMEOUT    | 4.852617   | 0.003420     | 150.000000    
AIM          | aim-200-2_0-no-2.cnf                | 200       | 400      | UNSAT    | UNSAT    | TIMEOUT    | 4.884895   | 0.003503     | 150.000000    
AIM          | aim-200-2_0-no-3.cnf                | 200       | 400      | UNSAT    | UNSAT    | TIMEOUT    | 6.479258   | 0.003918     | 150.000000    
AIM          | aim-200-2_0-no-4.cnf                | 200       | 400      | UNSAT    | UNSAT    | TIMEOUT    | 5.205591   | 0.004015     | 150.000000    
AIM          | aim-200-2_0-yes1-1.cnf              | 200       | 400      | SAT      | SAT      | TIMEOUT    | 5.030830   | 0.003743     | 150.000000    
AIM          | aim-200-2_0-yes1-2.cnf              | 200       | 400      | SAT      | SAT      | TIMEOUT    | 5.102509   | 0.003563     | 150.000000    
AIM          | aim-200-2_0-yes1-3.cnf              | 200       | 400      | SAT      | SAT      | TIMEOUT    | 5.192974   | 0.003829     | 150.000000    
AIM          | aim-200-2_0-yes1-4.cnf              | 200       | 400      | SAT      | SAT      | TIMEOUT    | 5.292428   | 0.003884     | 150.000000    
AIM          | aim-200-3_4-yes1-1.cnf              | 200       | 680      | SAT      | SAT      | TIMEOUT    | 9.138908   | 0.004262     | 150.000000    
AIM          | aim-200-3_4-yes1-2.cnf              | 200       | 680      | SAT      | SAT      | TIMEOUT    | 8.562864   | 0.004438     | 150.000000    
AIM          | aim-200-3_4-yes1-3.cnf              | 200       | 680      | SAT      | SAT      | TIMEOUT    | 11.270976  | 0.004649     | 150.000000    
AIM          | aim-200-3_4-yes1-4.cnf              | 200       | 680      | SAT      | SAT      | TIMEOUT    | 12.731406  | 0.004910     | 150.000000    
AIM          | aim-200-6_0-yes1-1.cnf              | 200       | 1200     | SAT      | SAT      | TIMEOUT    | 59.891448  | 0.011370     | 150.000000    
AIM          | aim-200-6_0-yes1-2.cnf              | 200       | 1200     | SAT      | SAT      | TIMEOUT    | 17.535741  | 0.004796     | 150.000000    
AIM          | aim-200-6_0-yes1-3.cnf              | 200       | 1200     | SAT      | SAT      | TIMEOUT    | 15.423020  | 0.004770     | 150.000000    
AIM          | aim-200-6_0-yes1-4.cnf              | 200       | 1200     | SAT      | SAT      | TIMEOUT    | 16.696507  | 0.004745     | 150.000000    
AIM          | aim-50-1_6-no-1.cnf                 | 50        | 80       | UNSAT    | UNSAT    | UNSAT      | 0.239703   | 0.002496     | 12.611004     
AIM          | aim-50-1_6-no-2.cnf                 | 50        | 80       | UNSAT    | UNSAT    | UNSAT      | 0.241547   | 0.002561     | 12.776891     
AIM          | aim-50-1_6-no-3.cnf                 | 50        | 80       | UNSAT    | UNSAT    | UNSAT      | 0.241395   | 0.002576     | 10.168198     
AIM          | aim-50-1_6-no-4.cnf                 | 50        | 80       | UNSAT    | UNSAT    | UNSAT      | 0.241288   | 0.002584     | 8.817214      
AIM          | aim-50-1_6-yes1-1.cnf               | 50        | 80       | SAT      | SAT      | SAT        | 0.246958   | 0.002509     | 11.886556     
AIM          | aim-50-1_6-yes1-2.cnf               | 50        | 80       | SAT      | SAT      | SAT        | 0.340076   | 0.002732     | 9.197274      
AIM          | aim-50-1_6-yes1-3.cnf               | 50        | 80       | SAT      | SAT      | SAT        | 0.242590   | 0.002625     | 8.837294      
AIM          | aim-50-1_6-yes1-4.cnf               | 50        | 80       | SAT      | SAT      | SAT        | 0.255182   | 0.002554     | 7.812661      
AIM          | aim-50-2_0-no-1.cnf                 | 50        | 100      | UNSAT    | UNSAT    | UNSAT      | 0.308621   | 0.002561     | 15.567183     
AIM          | aim-50-2_0-no-2.cnf                 | 50        | 100      | UNSAT    | UNSAT    | UNSAT      | 0.313916   | 0.002645     | 13.744031     
AIM          | aim-50-2_0-no-3.cnf                 | 50        | 100      | UNSAT    | UNSAT    | UNSAT      | 0.301289   | 0.002649     | 18.194317     
AIM          | aim-50-2_0-no-4.cnf                 | 50        | 100      | UNSAT    | UNSAT    | UNSAT      | 0.299077   | 0.002553     | 15.553222     
AIM          | aim-50-2_0-yes1-1.cnf               | 50        | 100      | SAT      | SAT      | SAT        | 0.304802   | 0.002559     | 18.823177     
AIM          | aim-50-2_0-yes1-2.cnf               | 50        | 100      | SAT      | SAT      | SAT        | 0.301568   | 0.002555     | 19.479757     
AIM          | aim-50-2_0-yes1-3.cnf               | 50        | 100      | SAT      | SAT      | SAT        | 0.326765   | 0.002553     | 26.201100     
AIM          | aim-50-2_0-yes1-4.cnf               | 50        | 100      | SAT      | SAT      | SAT        | 0.310742   | 0.002542     | 15.006711     
AIM          | aim-50-3_4-yes1-1.cnf               | 50        | 170      | SAT      | SAT      | SAT        | 0.526624   | 0.002572     | 68.676700     
AIM          | aim-50-3_4-yes1-2.cnf               | 50        | 170      | SAT      | SAT      | SAT        | 0.555274   | 0.002633     | 67.095678     
AIM          | aim-50-3_4-yes1-3.cnf               | 50        | 170      | SAT      | SAT      | SAT        | 0.501367   | 0.002541     | 60.815482     
AIM          | aim-50-3_4-yes1-4.cnf               | 50        | 170      | SAT      | SAT      | SAT        | 0.482150   | 0.002561     | 71.467893     
AIM          | aim-50-6_0-yes1-1.cnf               | 50        | 300      | SAT      | SAT      | TIMEOUT    | 0.853925   | 0.002587     | 150.000000    
AIM          | aim-50-6_0-yes1-2.cnf               | 50        | 300      | SAT      | SAT      | TIMEOUT    | 0.830907   | 0.002566     | 150.000000    
AIM          | aim-50-6_0-yes1-3.cnf               | 50        | 300      | SAT      | SAT      | TIMEOUT    | 0.852204   | 0.002634     | 150.000000    
AIM          | aim-50-6_0-yes1-4.cnf               | 50        | 300      | SAT      | SAT      | TIMEOUT    | 0.857054   | 0.002667     | 150.000000    
DUBOIS       | dubois100.cnf                       | 300       | 800      | UNSAT    | SAT      | TIMEOUT    | 15.000571  | 0.003937     | 150.000000    
DUBOIS       | dubois20.cnf                        | 60        | 160      | UNSAT    | UNSAT    | UNSAT      | 0.841053   | 0.004422     | 77.117303     
DUBOIS       | dubois21.cnf                        | 63        | 168      | UNSAT    | UNSAT    | TIMEOUT    | 0.618557   | 0.002561     | 150.000000    
DUBOIS       | dubois22.cnf                        | 66        | 176      | UNSAT    | UNSAT    | UNSAT      | 0.664221   | 0.002574     | 98.449301     
DUBOIS       | dubois23.cnf                        | 69        | 184      | UNSAT    | UNSAT    | UNSAT      | 0.864577   | 0.002874     | 130.215953    
DUBOIS       | dubois24.cnf                        | 72        | 192      | UNSAT    | UNSAT    | UNSAT      | 0.912991   | 0.003062     | 127.820387    
